# CADENCE free-form capture (CPX SPI-flash logger, on-device inference)
# samples=9698  rate_hz=64  duration_s=151.53
# phase = device-inferred state: 0=still  1=walk  2=freeze
# analyze: --labels still,walk,freeze --freeze-phases 2
idx,t_s,ax_mg,ay_mg,az_mg,phase
0,0.0000,191,-984,-39,1
1,0.0156,39,-988,-105,1
2,0.0312,93,-996,-93,1
3,0.0469,117,-1007,-164,1
4,0.0625,105,-1000,-101,1
5,0.0781,35,-996,-132,1
6,0.0937,39,-968,-78,1
7,0.1094,355,-1003,11,1
8,0.1250,105,-1015,-93,1
9,0.1406,39,-992,-125,1
10,0.1562,58,-988,-132,1
11,0.1719,78,-1000,-128,1
12,0.1875,58,-988,-167,1
13,0.2031,66,-984,-82,1
14,0.2187,160,-992,-31,1
15,0.2344,82,-984,-140,1
16,0.2500,105,-992,-109,1
17,0.2656,101,-980,-89,1
18,0.2812,93,-988,-58,1
19,0.2969,89,-984,-101,1
20,0.3125,74,-984,-89,1
21,0.3281,128,-996,-93,1
22,0.3437,93,-992,-136,1
23,0.3594,97,-996,-66,1
24,0.3750,85,-984,-175,1
25,0.3906,101,-988,-152,1
26,0.4062,93,-984,-97,1
27,0.4219,35,-988,-117,1
28,0.4375,85,-972,-7,1
29,0.4531,218,-988,-15,1
30,0.4687,117,-996,-74,1
31,0.4844,101,-996,-89,1
32,0.5000,82,-992,-70,1
33,0.5156,82,-992,-78,1
34,0.5312,101,-996,-58,1
35,0.5469,101,-1003,-62,1
36,0.5625,89,-992,-101,1
37,0.5781,113,-984,-136,1
38,0.5937,105,-988,-140,1
39,0.6094,70,-984,-117,1
40,0.6250,85,-988,-74,1
41,0.6406,167,-1003,-31,1
42,0.6562,171,-996,-121,1
43,0.6719,85,-988,-89,1
44,0.6875,101,-988,-54,1
45,0.7031,117,-996,-105,1
46,0.7187,117,-976,-82,1
47,0.7344,113,-988,-101,1
48,0.7500,101,-988,-50,1
49,0.7656,113,-980,-78,1
50,0.7812,136,-996,-82,1
51,0.7969,93,-988,-109,1
52,0.8125,105,-1000,-117,1
53,0.8281,121,-988,-121,1
54,0.8438,109,-992,-136,1
55,0.8594,105,-984,-117,1
56,0.8750,93,-996,-105,1
57,0.8906,121,-996,-78,1
58,0.9063,152,-1000,-85,1
59,0.9219,156,-1007,-125,1
60,0.9375,117,-980,-54,1
61,0.9531,113,-988,-42,1
62,0.9688,128,-972,-42,1
63,0.9844,101,-988,-66,1
64,1.0000,109,-996,-136,1
65,1.0156,105,-988,-156,1
66,1.0313,117,-988,-70,1
67,1.0469,148,-996,-113,1
68,1.0625,125,-996,-66,1
