# CADENCE free-form capture (CPX SPI-flash logger, on-device inference)
# samples=15285  rate_hz=64  duration_s=238.83
# phase = device-inferred state: 0=still  1=walk  2=freeze
# analyze: --labels still,walk,freeze --freeze-phases 2
idx,t_s,ax_mg,ay_mg,az_mg,phase
0,0.0000,-31,-992,-97,1
1,0.0156,-35,-992,-66,1
2,0.0312,-31,-988,-70,1
3,0.0469,-50,-1000,-58,1
4,0.0625,-54,-988,-42,1
5,0.0781,-54,-984,-78,1
6,0.0937,-62,-1000,-85,1
7,0.1094,-39,-988,-23,1
8,0.1250,-35,-980,-78,1
9,0.1406,-27,-996,-93,1
10,0.1562,-35,-992,-62,1
11,0.1719,-35,-972,-11,1
12,0.1875,-42,-980,-62,1
13,0.2031,-58,-992,-82,1
14,0.2187,-39,-988,-78,1
15,0.2344,-46,-988,-70,1
16,0.2500,-35,-992,-70,1
17,0.2656,-35,-988,-66,1
18,0.2812,-19,-988,-78,1
19,0.2969,-46,-988,-23,1
20,0.3125,-54,-992,-46,1
21,0.3281,-54,-992,-85,1
22,0.3437,-50,-992,-78,1
23,0.3594,-66,-996,-78,1
24,0.3750,-66,-996,-62,1
25,0.3906,-82,-1003,-46,1
26,0.4062,-82,-992,-46,1
27,0.4219,-62,-992,-82,1
28,0.4375,-62,-996,-58,1
29,0.4531,-78,-996,-117,1
30,0.4687,-46,-992,-93,1
31,0.4844,-50,-984,-85,1
32,0.5000,-93,-992,-78,1
33,0.5156,-70,-984,-132,1
34,0.5312,-66,-988,-101,1
35,0.5469,-50,-992,-78,1
36,0.5625,-66,-992,-105,1
37,0.5781,-54,-992,-113,1
38,0.5937,-42,-984,-42,1
39,0.6094,-54,-996,-82,1
40,0.6250,-70,-996,-27,1
41,0.6406,-78,-988,-58,1
42,0.6562,-62,-984,-70,1
43,0.6719,-101,-976,-117,1
44,0.6875,-82,-992,-50,1
45,0.7031,-74,-980,-109,1
46,0.7187,-54,-984,-113,1
47,0.7344,-70,-996,-89,1
48,0.7500,-66,-996,-50,1
49,0.7656,-85,-1000,-101,1
50,0.7812,-58,-1000,-58,1
51,0.7969,-70,-1000,-19,1
52,0.8125,-78,-988,-105,1
53,0.8281,-66,-988,-85,1
54,0.8438,-66,-980,-11,1
55,0.8594,-82,-988,-117,1
