# CADENCE on-board capture (CPX SPI-flash logger)
# samples=4121  rate_hz=64  duration_s=64.39
# protocol: STILL>WALK>FREEZE>WALK>FREEZE>WALK>FREEZE>WALK>STILL
# analyze: --labels still,walk,freeze,walk,freeze,walk,freeze,walk,still --freeze-phases 2,4,6
idx,t_s,ax_mg,ay_mg,az_mg,phase
0,0.0000,-699,-453,1066,0
1,0.0156,-738,-964,1039,0
2,0.0312,-710,-1511,867,0
3,0.0469,-636,-2253,750,0
4,0.0625,-468,-2722,351,0
5,0.0781,-414,-2902,195,0
6,0.0937,-351,-2773,23,0
7,0.1094,-398,-2378,0,0
8,0.1250,-437,-1937,156,0
9,0.1406,-425,-1621,328,0
10,0.1562,-312,-1152,632,0
11,0.1719,-222,-878,1093,0
12,0.1875,-85,-664,1265,0
13,0.2031,74,-699,1523,0
14,0.2187,152,-343,1558,0
15,0.2344,140,11,1625,0
16,0.2500,144,339,1582,0
17,0.2656,328,578,1410,0
18,0.2812,320,621,1351,0
19,0.2969,320,589,1253,0
20,0.3125,257,636,1148,0
21,0.3281,257,671,1250,0
22,0.3437,42,726,1269,0
23,0.3594,39,949,1375,0
24,0.3750,-105,1218,1433,0
25,0.3906,-117,1417,1691,0
26,0.4062,-167,1445,1734,0
27,0.4219,-289,1343,1679,0
28,0.4375,-679,1039,1632,0
29,0.4531,-968,667,1554,0
30,0.4687,-1226,273,1460,0
31,0.4844,-1390,-136,1363,0
32,0.5000,-1566,-609,1105,0
33,0.5156,-1542,-1539,980,0
34,0.5312,-1417,-2535,476,0
35,0.5469,-1152,-3359,3,0
36,0.5625,-1054,-3605,-289,0
37,0.5781,-863,-3527,-605,0
38,0.5937,-746,-3128,-648,0
39,0.6094,-652,-2683,-460,0
40,0.6250,-566,-2105,-35,0
41,0.6406,-464,-1453,507,0
42,0.6562,-378,-621,902,0
43,0.6719,-187,-82,1109,0
44,0.6875,-89,66,1167,0
45,0.7031,-62,253,1039,0
46,0.7187,-78,753,1050,0
47,0.7344,15,1605,1289,0
48,0.7500,27,2164,1289,0
49,0.7656,66,2656,1480,0
50,0.7812,15,2625,1625,0
51,0.7969,-242,2027,1445,0
52,0.8125,-535,1203,1445,0
53,0.8281,-597,574,1503,0
54,0.8438,-703,-839,1597,0
55,0.8594,-515,-2039,1300,0
56,0.8750,-433,-2925,867,0
57,0.8906,-23,-3199,609,0
58,0.9063,-7,-2812,371,0
59,0.9219,-46,-2140,320,0
60,0.9375,-82,-1464,539,0
61,0.9531,-167,-171,660,0
62,0.9688,-183,367,824,0
63,0.9844,-179,933,785,0
64,1.0000,62,1433,1011,0
65,1.0156,128,617,1050,0
66,1.0313,54,535,1257,0
67,1.0469,207,367,1265,0
68,1.0625,175,175,1230,0
69,1.0781,171,58,1082,0
70,1.0938,121,7,1046,0
71,1.1094,85,23,992,0
72,1.1250,78,-15,851,0
73,1.1406,3,-19,894,0
74,1.1563,27,-62,847,0
75,1.1719,42,-85,906,0
76,1.1875,42,-93,968,0
77,1.2031,31,-54,1019,0
78,1.2188,7,11,917,0
79,1.2344,7,101,894,0
80,1.2500,-3,156,851,0
81,1.2656,0,144,941,0
82,1.2813,15,74,937,0
83,1.2969,39,35,1046,0
84,1.3125,50,39,917,0
85,1.3281,54,58,972,0
86,1.3438,66,58,957,0
87,1.3594,78,62,1015,0
88,1.3750,78,70,1035,0
89,1.3906,78,50,1019,0
90,1.4063,78,23,980,0
91,1.4219,62,39,976,0
92,1.4375,82,117,789,0
93,1.4531,50,152,847,0
94,1.4688,58,152,843,0
95,1.4844,58,121,914,0
96,1.5000,74,85,906,0
97,1.5156,93,74,968,0
98,1.5313,78,97,957,0
99,1.5469,70,97,968,0
100,1.5625,66,117,882,0
101,1.5781,50,82,910,0
102,1.5938,78,78,964,0
103,1.6094,54,74,968,0
104,1.6250,50,78,917,0
105,1.6406,46,78,972,0
106,1.6563,46,62,917,0
107,1.6719,42,39,910,0
108,1.6875,27,62,882,0
109,1.7031,66,62,976,0
110,1.7188,31,74,917,0
111,1.7344,66,62,957,0
112,1.7500,46,58,929,0
113,1.7656,39,70,925,0
114,1.7813,39,78,925,0
115,1.7969,31,74,898,0
116,1.8125,23,85,906,0
117,1.8281,39,62,953,0
118,1.8438,35,54,859,0
119,1.8594,11,35,945,0
120,1.8750,-7,70,937,0
121,1.8906,3,89,980,0
122,1.9063,3,97,898,0
123,1.9219,15,54,925,0
124,1.9375,7,78,921,0
125,1.9531,19,62,914,0
126,1.9688,15,54,917,0
127,1.9844,3,46,917,0
128,2.0000,7,58,871,0
129,2.0156,7,70,949,0
130,2.0312,-3,62,921,0
131,2.0469,15,70,917,0
132,2.0625,-3,23,949,0
133,2.0781,15,31,953,0
134,2.0937,23,54,917,0
135,2.1094,19,70,945,0
136,2.1250,7,89,937,0
137,2.1406,0,66,929,0
138,2.1562,3,58,949,0
139,2.1719,31,27,945,0
140,2.1875,15,39,992,0
141,2.2031,19,70,968,0
142,2.2187,15,70,906,0
143,2.2344,19,82,992,0
144,2.2500,11,89,976,0
145,2.2656,19,78,937,0
146,2.2812,19,74,1015,0
147,2.2969,15,89,957,0
148,2.3125,0,93,875,0
149,2.3281,3,78,972,0
150,2.3437,-3,50,929,0
151,2.3594,3,66,917,0
152,2.3750,-3,31,945,0
153,2.3906,15,85,925,0
154,2.4062,-7,109,984,0
155,2.4219,-7,121,957,0
156,2.4375,-3,109,921,0
157,2.4531,-7,89,917,0
158,2.4687,11,50,937,0
159,2.4844,-3,35,910,0
160,2.5000,3,70,921,0
161,2.5156,0,89,933,0
162,2.5312,-3,97,894,0
163,2.5469,-7,82,964,0
164,2.5625,11,74,941,0
165,2.5781,3,93,960,0
166,2.5937,-3,70,957,0
167,2.6094,-7,66,1035,0
168,2.6250,3,31,933,0
169,2.6406,7,62,894,0
170,2.6562,-7,66,894,0
171,2.6719,-27,78,957,0
172,2.6875,-3,62,925,0
173,2.7031,-15,74,910,0
174,2.7187,-15,85,894,0
175,2.7344,-35,82,1003,0
176,2.7500,-11,70,945,0
177,2.7656,3,74,906,0
178,2.7812,-11,62,941,0
179,2.7969,-27,66,964,0
180,2.8125,-15,66,984,0
181,2.8281,0,78,917,0
182,2.8437,0,58,968,0
183,2.8594,-27,54,957,0
184,2.8750,-7,62,945,0
185,2.8906,-3,82,957,0
186,2.9062,7,89,890,0
187,2.9219,-15,82,988,0
188,2.9375,-3,74,906,0
189,2.9531,-3,46,898,0
190,2.9687,-7,70,957,0
191,2.9844,-3,58,910,0
192,3.0000,0,62,917,0
193,3.0156,-15,54,941,0
194,3.0312,-3,66,925,0
195,3.0469,-7,62,925,0
196,3.0625,3,85,917,0
197,3.0781,-11,74,949,0
198,3.0937,-7,66,957,0
199,3.1094,-11,54,992,0
200,3.1250,0,58,984,0
201,3.1406,0,62,960,0
202,3.1562,7,54,1003,0
203,3.1719,-11,74,917,0
204,3.1875,-15,70,929,0
205,3.2031,-11,66,933,0
206,3.2187,-3,70,976,0
207,3.2344,-3,50,945,0
208,3.2500,-3,70,933,0
209,3.2656,-3,54,957,0
210,3.2812,0,74,898,0
211,3.2969,-3,66,894,0
212,3.3125,-15,58,976,0
213,3.3281,0,46,910,0
214,3.3437,-27,62,984,0
215,3.3594,-11,62,894,0
216,3.3750,-3,58,921,0
217,3.3906,-7,74,968,0
218,3.4062,-3,82,910,0
219,3.4219,0,74,972,0
220,3.4375,-3,82,910,0
221,3.4531,-23,66,898,0
222,3.4687,-7,54,972,0
223,3.4844,-35,54,910,0
224,3.5000,-7,78,933,0
225,3.5156,-7,50,949,0
226,3.5312,0,58,937,0
227,3.5469,0,58,941,0
228,3.5625,-7,62,957,0
229,3.5781,0,54,929,0
230,3.5937,0,66,949,0
231,3.6094,0,62,949,0
232,3.6250,-3,105,925,0
233,3.6406,7,54,960,0
234,3.6562,-3,82,914,0
235,3.6719,-3,62,945,0
236,3.6875,-7,58,937,0
237,3.7031,-7,62,957,0
238,3.7187,11,62,992,0
239,3.7344,-7,66,988,0
240,3.7500,-3,54,972,0
241,3.7656,-11,66,914,0
242,3.7812,-11,85,976,0
243,3.7969,-15,54,949,0
244,3.8125,-11,78,882,0
245,3.8281,0,54,964,0
246,3.8437,0,62,953,0
247,3.8594,-3,58,992,0
248,3.8750,-11,46,910,0
249,3.8906,-3,50,984,0
250,3.9062,3,62,882,0
251,3.9219,7,0,902,0
252,3.9375,-3,50,933,0
253,3.9531,7,58,953,0
254,3.9687,-3,54,925,0
255,3.9844,7,66,925,0
256,4.0000,0,54,929,0
257,4.0156,0,74,839,0
258,4.0312,-3,82,957,0
259,4.0469,-3,66,937,0
260,4.0625,-19,78,921,0
261,4.0781,3,78,1000,0
262,4.0937,15,78,933,0
263,4.1094,15,78,941,0
264,4.1250,0,85,878,0
265,4.1406,23,85,945,0
266,4.1562,11,66,933,0
267,4.1719,0,46,968,0
268,4.1875,-3,50,945,0
269,4.2031,7,70,968,0
270,4.2187,0,78,925,0
271,4.2344,11,89,972,0
272,4.2500,7,82,937,0
273,4.2656,0,54,988,0
274,4.2812,7,42,910,0
275,4.2969,-7,78,984,0
276,4.3125,0,74,929,0
277,4.3281,-3,78,941,0
278,4.3437,-11,78,953,0
279,4.3594,-7,74,917,0
280,4.3750,0,66,933,0
281,4.3906,3,78,960,0
282,4.4062,0,78,898,0
283,4.4219,-3,54,945,0
284,4.4375,-3,78,957,0
285,4.4531,-3,74,949,0
286,4.4687,11,78,929,0
287,4.4844,0,70,890,0
288,4.5000,-7,62,898,0
289,4.5156,-3,89,929,0
290,4.5312,7,58,949,0
291,4.5469,3,78,945,0
292,4.5625,-7,78,957,0
293,4.5781,23,85,875,0
294,4.5937,0,78,949,0
295,4.6094,-3,70,937,0
296,4.6250,0,70,964,0
297,4.6406,11,93,910,0
298,4.6562,31,78,937,0
299,4.6719,3,85,972,0
300,4.6875,35,82,949,0
301,4.7031,-3,78,937,0
302,4.7187,-15,70,949,0
303,4.7344,0,70,949,0
304,4.7500,3,70,964,0
305,4.7656,0,74,968,0
306,4.7812,0,85,960,0
307,4.7969,-11,74,937,0
308,4.8125,-7,58,953,0
309,4.8281,-3,58,964,0
310,4.8437,7,58,949,0
311,4.8594,-11,70,929,0
312,4.8750,0,78,960,0
313,4.8906,-11,66,929,0
314,4.9062,-3,58,929,0
315,4.9219,-7,70,933,0
316,4.9375,-3,78,890,0
317,4.9531,-7,74,906,0
318,4.9687,0,66,976,0
319,4.9844,-7,82,914,0
